Date,.dMIWD00000G,.dMIEF00000G,.dMIEA00000G,JPY=,US10YT=RR,Updated at 17:32:01,US3MT=RR
2019-06-11,1239.76,130397.37,4675.41,108.50,2.1448,2019-05-14 00:00:00,2.416
2019-06-10,1236.20,129312.22,4642.35,108.43,2.1501,2019-05-13 00:00:00,2.413
2019-06-07,1228.39,127410.39,4613.47,108.18,2.0844,2019-05-10 00:00:00,2.429
2019-06-06,1217.65,126919.12,4575.68,108.40,2.1209,2019-05-09 00:00:00,2.434
2019-06-05,1213.36,127075.84,4573.02,108.45,2.1313,2019-05-08 00:00:00,2.434
2019-06-04,1205.20,127123.60,4541.03,108.14,2.1210,2019-05-07 00:00:00,2.432
2019-06-03,1189.87,127530.84,4525.14,108.06,2.0745,2019-05-06 00:00:00,2.426
2019-05-31,1190.75,126525.44,4524.10,108.26,2.1332,2019-05-03 00:00:00,2.431
2019-05-30,1202.15,126274.09,4563.83,109.60,2.2168,2019-05-02 00:00:00,2.437
2019-05-29,1199.31,125298.63,4558.91,109.58,2.2622,2019-05-01 00:00:00,2.427
2019-05-28,1208.82,125430.61,4613.87,109.36,2.2675,2019-04-30 00:00:00,2.432
2019-05-24,1212.88,125041.50,4602.65,109.29,2.3237,2019-04-29 00:00:00,2.423
2019-05-23,1210.19,124979.64,4585.50,109.59,2.3220,2019-04-26 00:00:00,2.423
2019-05-22,1224.48,126418.17,4636.23,110.34,2.3803,2019-04-25 00:00:00,2.429
2019-05-21,1226.94,126597.51,4636.70,110.49,2.4281,2019-04-24 00:00:00,2.434
2019-05-20,1219.24,126013.56,4623.46,110.05,2.4192,2019-04-23 00:00:00,2.45
2019-05-17,1225.72,126343.15,4641.52,110.07,2.3927,2019-04-22 00:00:00,2.441
2019-05-16,1231.15,127738.43,4637.89,109.84,2.3944,2019-04-18 00:00:00,2.429
2019-05-15,1222.03,128288.79,4598.61,109.58,2.3768,2019-04-17 00:00:00,2.439
2019-05-14,1215.43,128107.65,4571.66,109.59,2.4139,2019-04-16 00:00:00,2.442
2019-05-13,1208.09,128431.05,4550.42,109.30,2.4033,2019-04-15 00:00:00,2.423
2019-05-10,1230.24,130088.48,4590.34,109.94,2.4725,2019-04-12 00:00:00,2.441
2019-05-09,1226.49,129703.13,4582.15,109.75,2.4529,2019-04-11 00:00:00,2.429
2019-05-08,1235.71,132075.59,4640.28,110.10,2.4853,2019-04-10 00:00:00,2.427
2019-05-07,1238.65,132944.86,4653.88,110.24,2.4477,2019-04-09 00:00:00,2.429
2019-05-06,1255.16,133593.30,4701.88,110.76,2.4998,2019-04-08 00:00:00,2.429
2019-05-03,1263.08,135907.64,4732.21,111.09,2.5305,2019-04-05 00:00:00,2.434
2019-05-02,1254.97,135581.80,4724.10,111.50,2.5450,2019-04-04 00:00:00,2.434
2019-05-01,1257.50,135492.21,4736.23,111.37,2.5017,2019-04-03 00:00:00,2.437
2019-04-30,1262.85,135424.89,4736.88,111.41,2.5036,2019-04-02 00:00:00,2.434
2019-04-29,1262.88,135734.80,4740.49,111.63,2.5270,2019-04-01 00:00:00,2.392
2019-04-26,1260.88,135136.58,4733.40,111.58,2.5000,2019-03-29 00:00:00,2.4
2019-04-25,1257.01,135188.98,4726.08,111.62,2.5343,2019-03-28 00:00:00,2.437
2019-04-24,1258.26,135825.51,4727.26,112.17,2.5181,2019-03-27 00:00:00,2.442
2019-04-23,1261.17,136128.64,4738.05,111.86,2.5686,2019-03-26 00:00:00,2.47
2019-04-22,1252.86,135845.72,4718.22,111.93,2.5867,2019-03-25 00:00:00,2.454
2019-04-18,1252.23,136096.34,4715.77,111.96,2.5596,2019-03-22 00:00:00,2.462
2019-04-17,1251.66,136446.19,4719.84,112.05,2.5940,2019-03-21 00:00:00,2.473
2019-04-16,1252.35,136152.63,4712.57,111.99,2.5922,2019-03-20 00:00:00,2.473
2019-04-15,1249.68,135041.14,4697.91,112.03,2.5561,2019-03-19 00:00:00,2.47
2019-04-12,1248.68,135357.80,4678.03,112.02,2.5615,2019-03-18 00:00:00,2.446
2019-04-11,1242.75,135090.22,4667.24,111.65,2.4988,2019-03-15 00:00:00,2.452
2019-04-10,1243.56,136080.16,4665.26,111.00,2.4649,2019-03-14 00:00:00,2.452
2019-04-09,1240.95,136002.78,4668.24,111.12,2.5024,2019-03-13 00:00:00,2.452
2019-04-08,1245.67,135648.61,4680.09,111.47,2.5204,2019-03-12 00:00:00,2.46
2019-04-05,1244.53,134990.42,4684.56,111.73,2.4989,2019-03-11 00:00:00,2.444
2019-04-04,1239.69,134493.38,4673.42,111.65,2.5133,2019-03-08 00:00:00,2.454
2019-04-03,1238.33,134162.00,4678.65,111.47,2.5277,2019-03-07 00:00:00,2.46
2019-04-02,1233.04,133356.23,4643.96,111.31,2.4724,2019-03-06 00:00:00,2.465
2019-04-01,1231.47,133161.09,4627.90,111.34,2.5027,2019-03-05 00:00:00,2.465
2019-03-29,1218.07,132018.16,4577.77,110.84,2.4068,2019-03-04 00:00:00,2.432
2019-03-28,1209.81,130650.53,4547.92,110.62,2.3911,2019-03-01 00:00:00,2.435
2019-03-27,1207.77,130298.93,4560.92,110.51,2.3806,2019-02-28 00:00:00,2.44
2019-03-26,1210.62,130615.27,4552.47,110.62,2.4248,2019-02-27 00:00:00,2.451
2019-03-25,1201.55,130138.49,4508.30,109.95,2.4054,2019-02-26 00:00:00,2.458
2019-03-22,1207.52,131811.47,4551.33,109.91,2.4373,2019-02-25 00:00:00,2.45
2019-03-21,1225.35,132472.89,4598.13,110.80,2.5387,2019-02-22 00:00:00,2.45
2019-03-20,1217.25,132429.54,4591.90,110.68,2.5245,2019-02-21 00:00:00,2.448
2019-03-19,1221.48,132779.55,4614.77,111.37,2.6177,2019-02-20 00:00:00,2.446
2019-03-18,1220.55,132669.34,4600.71,111.42,2.6051,2019-02-19 00:00:00,2.429
2019-03-15,1214.63,131465.17,4578.24,111.45,2.5907,2019-02-15 00:00:00,2.427
2019-03-14,1207.74,130514.62,4547.39,111.70,2.6303,2019-02-14 00:00:00,2.43
2019-03-13,1206.99,130680.58,4530.00,111.15,2.6249,2019-02-13 00:00:00,2.43
2019-03-12,1202.24,130724.34,4527.90,111.35,2.5997,2019-02-12 00:00:00,2.435
2019-03-11,1197.43,129708.65,4507.25,111.19,2.6411,2019-02-11 00:00:00,2.432
2019-03-08,1184.41,128523.43,4484.13,111.15,2.6303,2019-02-08 00:00:00,2.422
2019-03-07,1191.08,130041.19,4528.28,111.58,2.6411,2019-02-07 00:00:00,2.412
2019-03-06,1199.20,131143.96,4549.44,111.75,2.6934,2019-02-06 00:00:00,2.417
2019-03-05,1203.49,130901.78,4552.27,111.89,2.7187,2019-02-05 00:00:00,2.417
2019-03-04,1204.08,130789.26,4552.84,111.74,2.7241,2019-02-04 00:00:00,2.391
2019-03-01,1205.09,130470.98,4534.80,111.90,2.7585,2019-02-01 00:00:00,2.396
2019-02-28,1198.33,130206.80,4512.18,111.37,2.7168,2019-01-31 00:00:00,2.397
2019-02-27,1201.76,131269.66,4517.51,110.98,2.6861,2019-01-30 00:00:00,2.417
2019-02-26,1202.68,131722.04,4525.62,110.57,2.6375,2019-01-29 00:00:00,2.423
2019-02-25,1203.79,131909.15,4530.86,111.06,2.6680,2019-01-28 00:00:00,2.388
2019-02-22,1200.55,131045.51,4515.04,110.68,2.6536,2019-01-25 00:00:00,2.383
2019-02-21,1194.60,130106.22,4508.93,110.69,2.6950,2019-01-24 00:00:00,2.369
2019-02-20,1196.79,129709.00,4510.83,110.85,2.6483,2019-01-23 00:00:00,2.41
2019-02-19,1191.94,128436.58,4485.93,110.61,2.6357,2019-01-22 00:00:00,2.401
2019-02-15,1188.36,127802.69,4464.98,110.48,2.6644,2019-01-18 00:00:00,2.404
2019-02-14,1180.48,128996.16,4443.23,110.47,2.6554,2019-01-17 00:00:00,2.41
2019-02-13,1181.71,128897.18,4444.59,110.99,2.7093,2019-01-16 00:00:00,2.42
2019-02-12,1177.37,128785.37,4415.43,110.48,2.6859,2019-01-15 00:00:00,2.451
2019-02-11,1165.04,128107.26,4377.19,110.36,2.6536,2019-01-14 00:00:00,2.417
2019-02-08,1162.47,127884.49,4352.50,109.72,2.6339,2019-01-11 00:00:00,2.424
2019-02-07,1165.72,128600.04,4388.95,109.80,2.6572,2019-01-10 00:00:00,2.433
2019-02-06,1175.89,129154.05,4436.47,109.96,2.7000,2019-01-09 00:00:00,2.443
2019-02-05,1177.54,129442.34,4436.02,109.96,2.7037,2019-01-08 00:00:00,2.458
2019-02-04,1169.34,128945.48,4381.88,109.88,2.7253,2019-01-07 00:00:00,2.409
2019-02-01,1163.91,129053.13,4369.64,109.48,2.6842,2019-01-04 00:00:00,2.414
2019-01-31,1162.12,128782.22,4360.16,108.87,2.6328,2019-01-03 00:00:00,2.412
2019-01-30,1154.24,127799.93,4347.09,109.02,2.6775,2019-01-02 00:00:00,2.417
2019-01-29,1142.33,127058.02,4330.93,109.38,2.7098,2018-12-31 00:00:00,2.381
2019-01-28,1141.55,127032.40,4311.89,109.34,2.7476,2018-12-28 00:00:00,2.383
2019-01-25,1149.22,127571.24,4340.31,109.53,2.7585,2018-12-27 00:00:00,2.41
2019-01-24,1139.76,126188.17,4312.37,109.63,2.7157,2018-12-26 00:00:00,2.435
2019-01-23,1137.03,125448.35,4302.32,109.59,2.7498,2018-12-24 00:00:00,2.388
2019-01-22,1136.86,125434.24,4315.26,109.36,2.7409,2018-12-21 00:00:00,2.386
2019-01-18,1148.18,125863.51,4337.92,109.76,2.7878,2018-12-20 00:00:00,2.392
2019-01-17,1133.90,124853.60,4277.28,109.23,2.7504,2018-12-19 00:00:00,2.394
2019-01-16,1128.62,124713.30,4276.31,109.08,2.7272,2018-12-18 00:00:00,2.384
2019-01-15,1125.90,124193.82,4270.47,108.66,2.7184,2018-12-17 00:00:00,2.394
2019-01-14,1115.37,122700.08,4242.22,108.16,2.7060,2018-12-14 00:00:00,2.424
2019-01-11,1121.17,123580.68,4263.41,108.54,2.6989,2018-12-13 00:00:00,2.42
2019-01-10,1120.46,123197.12,4259.54,108.42,2.7457,2018-12-12 00:00:00,2.428
2019-01-09,1116.89,122873.06,4257.25,108.16,2.7118,2018-12-11 00:00:00,2.428
2019-01-08,1108.21,120704.99,4219.57,108.73,2.7298,2018-12-10 00:00:00,2.386
2019-01-07,1099.57,120684.08,4189.54,108.70,2.6978,2018-12-07 00:00:00,2.396
2019-01-04,1091.32,119431.86,4160.86,108.52,2.6677,2018-12-06 00:00:00,2.41
2019-01-03,1065.24,118123.70,4107.98,107.65,2.5517,2018-12-04 00:00:00,2.423
2019-01-02,1081.93,118890.40,4123.98,108.87,2.6328,2018-12-03 00:00:00,2.342
2018-12-31,1083.43,120164.35,4133.99,109.56,2.6860,2018-11-30 00:00:00,2.363
2018-12-28,1077.13,119827.90,4126.40,110.26,2.7164,2018-11-29 00:00:00,2.366
2018-12-27,1072.69,118881.59,4078.77,110.99,2.7738,2018-11-28 00:00:00,2.387
2018-12-26,1065.55,118475.53,4068.91,111.35,2.8097,2018-11-27 00:00:00,2.405
2018-12-24,1041.20,118682.94,4105.48,110.43,2.7365,2018-11-26 00:00:00,2.399
2018-12-21,1058.28,119067.70,4118.41,111.21,2.7884,2018-11-23 00:00:00,2.404
2018-12-20,1072.96,119265.43,4141.89,111.28,2.8083,2018-11-21 00:00:00,2.407
2018-12-19,1089.08,120157.70,4210.17,112.47,2.7620,2018-11-20 00:00:00,2.392
2018-12-18,1097.56,119903.28,4200.88,112.51,2.8228,2018-11-19 00:00:00,2.355
2018-12-17,1101.84,120682.69,4246.42,112.82,2.8570,2018-11-16 00:00:00,2.355
2018-12-14,1117.79,121238.26,4270.59,113.37,2.8949,2018-11-15 00:00:00,2.366
2018-12-13,1134.36,122559.21,4309.52,113.62,2.9131,2018-11-14 00:00:00,2.376
2018-12-12,1133.26,121690.49,4304.37,113.27,2.9114,2018-11-13 00:00:00,2.35
2018-12-11,1122.44,120317.38,4234.48,113.37,2.8790,2018-11-09 00:00:00,2.355
2018-12-10,1120.25,120009.51,4205.53,113.33,2.8629,2018-11-08 00:00:00,2.358
2018-12-07,1126.52,121650.87,4273.77,112.72,2.8576,2018-11-07 00:00:00,2.361
2018-12-06,1139.48,121682.89,4245.79,112.66,2.8919,2018-11-06 00:00:00,2.366
2018-12-05,1151.84,124020.47,4353.96,113.19,2.9154,2018-11-05 00:00:00,2.322
2018-12-04,1156.24,125100.92,4398.24,112.77,2.9154,2018-11-02 00:00:00,2.327
2018-12-03,1182.30,125496.00,4447.50,113.65,2.9661,2018-11-01 00:00:00,2.325
2018-11-30,1167.72,123178.37,4389.93,113.46,2.9933,2018-10-31 00:00:00,2.333
2018-11-29,1163.29,123310.48,4400.48,113.47,3.0316,2018-10-30 00:00:00,2.338
2018-11-28,1163.00,123262.31,4383.14,113.68,3.0608,2018-10-29 00:00:00,2.314
2018-11-27,1145.91,121879.33,4377.30,113.77,3.0590,2018-10-26 00:00:00,2.327
2018-11-26,1143.53,121331.14,4374.10,113.59,3.0590,2018-10-25 00:00:00,2.335
2018-11-23,1129.49,120261.04,4337.13,112.94,3.0463,2018-10-24 00:00:00,2.34
2018-11-21,1134.76,121009.00,4340.32,113.05,3.0646,2018-10-23 00:00:00,2.34
2018-11-20,1129.50,120659.69,4313.41,112.75,3.0610,2018-10-22 00:00:00,2.312
2018-11-19,1146.98,122545.49,4359.98,112.54,3.0628,2018-10-19 00:00:00,2.309
2018-11-16,1159.05,122378.42,4373.85,112.82,3.0647,2018-10-18 00:00:00,2.31
2018-11-15,1157.77,122034.33,4381.01,113.62,3.1103,2018-10-17 00:00:00,2.31
2018-11-14,1150.22,120767.58,4392.47,113.61,3.1268,2018-10-16 00:00:00,2.31
2018-11-13,1156.17,120712.33,4409.15,113.80,3.1415,2018-10-15 00:00:00,2.283
2018-11-12,1157.91,120634.35,4420.81,113.83,3.1856,2018-10-12 00:00:00,2.271
2018-11-09,1173.88,121497.67,4443.31,113.82,3.1856,2018-10-11 00:00:00,2.266
2018-11-08,1183.49,123113.60,4463.53,114.06,3.2392,2018-10-10 00:00:00,2.274
2018-11-07,1183.81,123730.76,4439.87,113.51,3.2373,2018-10-09 00:00:00,2.237
2018-11-06,1167.47,123224.76,4414.00,113.42,3.2314,2018-10-05 00:00:00,2.217
2018-11-05,1162.65,123140.33,4407.34,113.18,3.2008,2018-10-04 00:00:00,2.222
2018-11-02,1161.59,123628.22,4429.67,113.18,3.2198,2018-10-03 00:00:00,2.223
2018-11-01,1160.69,121195.95,4398.28,112.70,3.1341,2018-10-02 00:00:00,2.223
2018-10-31,1151.65,119620.50,4398.87,112.93,3.1492,2018-10-01 00:00:00,2.206
2018-10-30,1136.01,117014.28,4331.29,113.08,3.1189,2018-09-28 00:00:00,2.199
2018-10-29,1123.77,116615.60,4312.10,112.36,3.0887,2018-09-27 00:00:00,2.192
2018-10-26,1126.76,117251.76,4284.39,111.89,3.0774,2018-09-26 00:00:00,2.212
2018-10-25,1140.92,118276.36,4309.83,112.40,3.1262,2018-09-25 00:00:00,2.215
2018-10-24,1131.43,118661.16,4332.81,112.25,3.1110,2018-09-24 00:00:00,2.173
2018-10-23,1154.23,119668.35,4343.52,112.43,3.1714,2018-09-21 00:00:00,2.173
2018-10-22,1166.88,122002.22,4423.73,112.80,3.1997,2018-09-20 00:00:00,2.169
2018-10-19,1169.01,120780.62,4431.25,112.54,3.1958,2018-09-19 00:00:00,2.166
2018-10-18,1169.67,120712.12,4436.93,112.18,3.1767,2018-09-18 00:00:00,2.174
2018-10-17,1182.27,121916.74,4455.58,112.64,3.2069,2018-09-17 00:00:00,2.158
2018-10-16,1182.08,122094.21,4446.19,112.25,3.1633,2018-09-14 00:00:00,2.153
2018-10-15,1162.57,120832.39,4398.38,111.76,3.1557,2018-09-13 00:00:00,2.143
2018-10-12,1168.85,122035.95,4413.71,112.19,3.1670,2018-09-12 00:00:00,2.151
2018-10-11,1156.60,119335.79,4413.59,112.16,3.1460,2018-09-11 00:00:00,2.153
2018-10-10,1183.28,123010.15,4523.70,112.27,3.1742,2018-09-10 00:00:00,2.132
2018-10-09,1211.16,124105.47,4569.41,112.94,3.2063,2018-09-07 00:00:00,2.137
2018-10-08,1213.71,124259.97,4586.42,113.23,3.2328,2018-09-06 00:00:00,2.13
2018-10-05,1218.26,124957.24,4626.80,113.70,3.2328,2018-09-05 00:00:00,2.135
2018-10-04,1226.41,126224.18,4660.54,113.90,3.1870,2018-09-04 00:00:00,2.117
2018-10-03,1237.40,128390.22,4696.01,114.53,3.1813,2018-08-31 00:00:00,2.104
2018-10-02,1236.49,128303.50,4694.93,113.66,3.0613,2018-08-30 00:00:00,2.105
2018-10-01,1239.70,129693.27,4710.23,113.91,3.0855,2018-08-29 00:00:00,2.125
2018-09-28,1236.89,129696.89,4706.11,113.68,3.0649,2018-08-28 00:00:00,2.128
2018-09-27,1238.60,130093.93,4717.65,113.36,3.0555,2018-08-27 00:00:00,2.109
2018-09-26,1236.36,129770.75,4720.83,112.72,3.0480,2018-08-24 00:00:00,2.094
2018-09-25,1237.09,129471.66,4705.78,112.97,3.0983,2018-08-23 00:00:00,2.079
2018-09-24,1235.73,129268.75,4682.15,112.79,3.0889,2018-08-22 00:00:00,2.084
2018-09-21,1240.73,130412.21,4699.73,112.56,3.0665,2018-08-21 00:00:00,2.079
2018-09-20,1236.65,129143.57,4662.13,112.48,3.0645,2018-08-20 00:00:00,2.04
2018-09-19,1228.91,128624.14,4641.34,112.27,3.0663,2018-08-17 00:00:00,2.043
2018-09-18,1224.67,127417.95,4611.97,112.35,3.0570,2018-08-16 00:00:00,2.064
2018-09-17,1218.46,127120.41,4587.56,111.83,2.9940,2018-08-15 00:00:00,2.069
2018-09-14,1223.80,128342.56,4589.39,112.04,2.9995,2018-08-14 00:00:00,2.082
2018-09-13,1219.99,127136.59,4562.62,111.92,2.9737,2018-08-13 00:00:00,2.043
2018-09-12,1214.08,125800.96,4552.47,111.25,2.9645,2018-08-10 00:00:00,2.045
2018-09-11,1213.12,125921.75,4541.47,111.62,2.9810,2018-08-09 00:00:00,2.051
2018-09-10,1210.77,126799.78,4533.05,111.11,2.9351,2018-08-08 00:00:00,2.056
2018-09-07,1209.62,127836.80,4521.63,111.05,2.9388,2018-08-07 00:00:00,2.056
2018-09-06,1211.84,127657.13,4531.90,110.74,2.8785,2018-08-06 00:00:00,2.014
2018-09-05,1216.92,127977.16,4560.88,111.52,2.9040,2018-08-03 00:00:00,2.007
2018-09-04,1225.43,129970.35,4612.77,111.44,2.8985,2018-08-02 00:00:00,2.007
2018-08-31,1230.03,131175.55,4637.50,111.02,2.8604,2018-08-01 00:00:00,2.025
2018-08-30,1233.08,131464.42,4670.88,110.96,2.8586,2018-07-31 00:00:00,2.033
2018-08-29,1238.78,132663.79,4689.73,111.65,2.8858,2018-07-30 00:00:00,1.991
2018-08-28,1233.76,132259.48,4681.75,111.18,2.8840,2018-07-27 00:00:00,1.992
2018-08-27,1232.71,131918.90,4673.01,111.08,2.8459,2018-07-26 00:00:00,1.989
2018-08-24,1222.38,129865.86,4638.66,111.22,2.8134,2018-07-25 00:00:00,2
2018-08-23,1217.04,129786.92,4627.52,111.28,2.8279,2018-07-24 00:00:00,2.007
2018-08-22,1218.78,129892.98,4632.56,110.54,2.8207,2018-07-23 00:00:00,1.966
2018-08-21,1217.16,128979.26,4624.24,110.29,2.8424,2018-07-20 00:00:00,1.979
2018-08-20,1214.65,127930.58,4624.92,110.06,2.8190,2018-07-19 00:00:00,1.994
2018-08-17,1210.33,126792.53,4606.01,110.49,2.8641,2018-07-18 00:00:00,2.002
2018-08-16,1207.00,126427.71,4599.63,110.88,2.8696,2018-07-17 00:00:00,2.018
2018-08-15,1200.61,126856.43,4584.38,110.73,2.8641,2018-07-16 00:00:00,1.981
2018-08-14,1211.89,128700.39,4630.33,111.14,2.9004,2018-07-13 00:00:00,1.971
2018-08-13,1206.50,129080.27,4613.93,110.71,2.8768,2018-07-12 00:00:00,1.974
2018-08-10,1213.92,130655.51,4650.25,110.92,2.8732,2018-07-11 00:00:00,1.961
2018-08-09,1224.23,131697.61,4706.77,111.07,2.9294,2018-07-10 00:00:00,1.977
2018-08-08,1224.25,131409.30,4705.88,110.97,2.9637,2018-07-09 00:00:00,1.961
2018-08-07,1224.24,131265.65,4705.87,111.37,2.9767,2018-07-06 00:00:00,1.951
2018-08-06,1219.34,130384.96,4677.24,111.40,2.9451,2018-07-05 00:00:00,1.956
2018-08-03,1217.25,130598.18,4678.70,111.25,2.9506,2018-07-03 00:00:00,1.979
2018-08-02,1212.75,130005.09,4666.59,111.65,2.9859,2018-07-02 00:00:00,1.935
2018-08-01,1214.38,131854.18,4708.66,111.71,3.0045,2018-06-29 00:00:00,1.92
2018-07-31,1215.82,131861.29,4716.18,111.86,2.9617,2018-06-28 00:00:00,1.92
2018-07-30,1212.52,132142.30,4715.55,111.06,2.9747,2018-06-27 00:00:00,1.92
2018-07-27,1217.86,132387.14,4728.45,111.03,2.9579,2018-06-26 00:00:00,1.938
2018-07-26,1220.45,132149.01,4705.28,111.22,2.9820,2018-06-25 00:00:00,1.899
2018-07-25,1220.19,132210.21,4678.80,110.97,2.9727,2018-06-22 00:00:00,1.915
2018-07-24,1213.84,131519.07,4684.76,111.19,2.9504,2018-06-21 00:00:00,1.933
2018-07-23,1207.43,130410.03,4654.08,111.33,2.9597,2018-06-20 00:00:00,1.933
2018-07-20,1207.69,130482.18,4669.03,111.39,2.8950,2018-06-19 00:00:00,1.943
2018-07-19,1207.87,129593.77,4671.83,112.45,2.8380,2018-06-18 00:00:00,1.927
2018-07-18,1211.05,130155.58,4676.01,112.83,2.8747,2018-06-15 00:00:00,1.933
2018-07-17,1207.65,130052.23,4649.88,112.85,2.8600,2018-06-14 00:00:00,1.928
2018-07-16,1203.80,130110.85,4636.09,112.28,2.8564,2018-06-13 00:00:00,1.936
2018-07-13,1206.20,130633.80,4647.65,112.36,2.8289,2018-06-12 00:00:00,1.933
2018-07-12,1203.26,130029.10,4626.81,112.55,2.8491,2018-06-11 00:00:00,1.912
2018-07-11,1193.70,129268.69,4593.93,112.00,2.8400,2018-06-08 00:00:00,1.925
2018-07-10,1203.88,130446.90,4643.60,110.98,2.8674,2018-06-07 00:00:00,1.93
2018-07-09,1200.31,130305.38,4631.11,110.84,2.8583,2018-06-06 00:00:00,1.941
2018-07-06,1189.57,128678.28,4595.28,110.45,2.8236,2018-06-05 00:00:00,1.948
2018-07-05,1181.57,128159.96,4574.98,110.61,2.8327,2018-06-04 00:00:00,1.91
2018-07-03,1175.83,128459.77,4568.94,110.58,2.8327,2018-06-01 00:00:00,1.91
2018-07-02,1177.62,128875.46,4546.41,110.89,2.8711,2018-05-31 00:00:00,1.915
2018-06-29,1180.29,129552.14,4594.84,110.66,2.8601,2018-05-30 00:00:00,1.923
2018-06-28,1174.92,127221.59,4569.26,110.48,2.8401,2018-05-29 00:00:00,1.886
2018-06-27,1172.58,127421.54,4585.48,110.25,2.8274,2018-05-25 00:00:00,1.897
2018-06-26,1178.12,128877.71,4564.83,110.05,2.8766,2018-05-24 00:00:00,1.905
2018-06-25,1176.55,129321.46,4560.28,109.76,2.8821,2018-05-23 00:00:00,1.918
2018-06-22,1193.38,130759.62,4630.45,109.96,2.8949,2018-05-22 00:00:00,1.938
2018-06-21,1188.96,130216.32,4601.01,109.98,2.8986,2018-05-21 00:00:00,1.907
2018-06-20,1196.96,131476.92,4628.49,110.35,2.9370,2018-05-18 00:00:00,1.899
2018-06-19,1193.04,130701.25,4608.46,110.04,2.8967,2018-05-17 00:00:00,1.907
2018-06-18,1201.51,132904.61,4649.30,110.54,2.9169,2018-05-16 00:00:00,1.905
2018-06-15,1205.92,133583.95,4682.09,110.66,2.9223,2018-05-15 00:00:00,1.915
2018-06-14,1208.68,134245.39,4700.64,110.62,2.9351,2018-05-14 00:00:00,1.899
2018-06-13,1206.39,135164.16,4686.32,110.32,2.9737,2018-05-11 00:00:00,1.905
2018-06-12,1209.15,135655.87,4682.16,110.36,2.9645,2018-05-10 00:00:00,1.89
2018-06-11,1207.48,135255.35,4683.25,110.02,2.9516,2018-05-09 00:00:00,1.885
2018-06-08,1203.96,135041.58,4653.34,109.53,2.9479,2018-05-08 00:00:00,1.874
2018-06-07,1204.82,136410.31,4671.64,109.69,2.9223,2018-05-07 00:00:00,1.835
2018-06-06,1204.24,136134.34,4662.44,110.16,2.9736,2018-05-04 00:00:00,1.836
2018-06-05,1197.11,135561.05,4652.84,109.78,2.9259,2018-05-03 00:00:00,1.831
2018-06-04,1197.46,135536.65,4666.45,109.80,2.9442,2018-05-02 00:00:00,1.823
2018-06-01,1190.01,133736.28,4634.20,109.53,2.9022,2018-05-01 00:00:00,1.854
2018-05-31,1179.88,132734.02,4607.90,108.81,2.8604,2018-04-30 00:00:00,1.807
2018-05-30,1183.49,131832.88,4612.78,108.90,2.8568,2018-04-27 00:00:00,1.813
2018-05-29,1177.58,133379.72,4622.85,108.75,2.7899,2018-04-26 00:00:00,1.828
2018-05-25,1190.63,134331.52,4679.52,109.38,2.9313,2018-04-25 00:00:00,1.854
2018-05-24,1192.23,134178.66,4682.27,109.24,2.9770,2018-04-24 00:00:00,1.867
2018-05-23,1195.97,134077.83,4713.18,110.07,2.9935,2018-04-23 00:00:00,1.825
2018-05-22,1198.95,135035.34,4762.86,110.88,3.0634,2018-04-20 00:00:00,1.807
2018-05-21,1200.57,134823.86,4758.92,111.04,3.0578,2018-04-19 00:00:00,1.826
2018-05-18,1194.69,134814.18,4744.05,110.74,3.0596,2018-04-18 00:00:00,1.813
2018-05-17,1196.73,135123.08,4746.53,110.76,3.1149,2018-04-17 00:00:00,1.792
2018-05-16,1196.02,136288.69,4720.90,110.38,3.1038,2018-04-16 00:00:00,1.754
2018-05-15,1193.21,135718.90,4727.07,110.34,3.0723,2018-04-13 00:00:00,1.759
2018-05-14,1199.13,137054.63,4731.27,109.65,3.0024,2018-04-12 00:00:00,1.746
2018-05-11,1196.62,136345.82,4719.03,109.38,2.9695,2018-04-11 00:00:00,1.734
2018-05-10,1193.18,135663.24,4701.02,109.38,2.9640,2018-04-10 00:00:00,1.736
2018-05-09,1185.04,134725.44,4685.62,109.74,3.0061,2018-04-09 00:00:00,1.715
2018-05-08,1177.59,134425.61,4673.30,109.11,2.9722,2018-04-06 00:00:00,1.72
2018-05-07,1176.35,133784.48,4666.85,109.08,2.9516,2018-04-05 00:00:00,1.713
2018-05-04,1171.72,133157.82,4649.21,109.11,2.9515,2018-04-04 00:00:00,1.708
2018-05-03,1162.65,133527.43,4632.90,109.18,2.9477,2018-04-03 00:00:00,1.754
2018-05-02,1167.03,135071.58,4650.83,109.83,2.9756,2018-04-02 00:00:00,1.723
2018-05-01,1170.64,135760.25,4634.85,109.85,2.9681,2018-03-29 00:00:00,1.715
2018-04-30,1168.89,135707.15,4632.74,109.33,2.9550,2018-03-28 00:00:00,1.736
2018-04-27,1171.63,134660.01,4619.56,109.03,2.9587,2018-03-27 00:00:00,1.775
2018-04-26,1168.05,133615.77,4596.40,109.29,2.9828,2018-03-26 00:00:00,1.746
2018-04-25,1158.83,133223.78,4570.41,109.41,3.0315,2018-03-23 00:00:00,1.728
2018-04-24,1160.96,134331.62,4594.19,108.81,2.9995,2018-03-22 00:00:00,1.723
2018-04-23,1167.84,134431.20,4576.85,108.70,2.9770,2018-03-21 00:00:00,1.746
2018-04-20,1167.31,135053.18,4564.85,107.65,2.9602,2018-03-20 00:00:00,1.8
2018-04-19,1173.35,136333.88,4561.07,107.36,2.9135,2018-03-19 00:00:00,1.769
2018-04-18,1175.59,135431.64,4556.48,107.23,2.8746,2018-03-16 00:00:00,1.779
